Id;Title;Category;Interaction;Description
10;Cross Site Request Forgery;Elevation Of Privilege;HTTPS;Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.
11;Spoofing the Proxy Login Process;Spoofing;HTTPS;Proxy Login may be spoofed by an attacker and this may lead to unauthorized access to  Client. Consider using a standard authentication mechanism to identify the source process.
12;Proxy Login Process Memory Tampered;Tampering;HTTPS;If Proxy Login is given access to memory, such as shared memory or pointers, or is given the ability to control what  Client executes (for example, passing back a function pointer.), then Proxy Login can tamper with  Client. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
15;Potential Data Repudiation by  Client;Repudiation;HTTPS; Client claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
16;Potential Process Crash or Stop for  Client;Denial Of Service;HTTPS; Client crashes, halts, stops or runs slowly
18;Elevation Using Impersonation;Elevation Of Privilege;HTTPS; Client may be able to impersonate the context of Proxy Login in order to gain additional privilege.
19; Client May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTPS;Proxy Login may be able to remotely execute code for  Client.
20;Elevation by Changing the Execution Flow in  Client;Elevation Of Privilege;HTTPS;An attacker may pass data into  Client in order to change the flow of program execution within  Client to the attacker's choosing.
23;Cross Site Scripting;Tampering;HTTPS;The web server 'Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
24;Potential Data Repudiation by Proxy;Repudiation;HTTPS;Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
26;Potential Process Crash or Stop for Proxy;Denial Of Service;HTTPS;Proxy crashes, halts, stops or runs slowly
28;Elevation Using Impersonation;Elevation Of Privilege;HTTPS;Proxy may be able to impersonate the context of  Client in order to gain additional privilege.
29;Proxy May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTPS; Client may be able to remotely execute code for Proxy.
30;Elevation by Changing the Execution Flow in Proxy;Elevation Of Privilege;HTTPS;An attacker may pass data into Proxy in order to change the flow of program execution within Proxy to the attacker's choosing.
31;Cross Site Request Forgery;Elevation Of Privilege;HTTPS;Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.
32;Spoofing the Proxy Process;Spoofing;HTTPS;Proxy may be spoofed by an attacker and this may lead to unauthorized access to  Client. Consider using a standard authentication mechanism to identify the source process.
33;Proxy Process Memory Tampered;Tampering;HTTPS;If Proxy is given access to memory, such as shared memory or pointers, or is given the ability to control what  Client executes (for example, passing back a function pointer.), then Proxy can tamper with  Client. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
36;Potential Data Repudiation by  Client;Repudiation;HTTPS; Client claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
37;Potential Process Crash or Stop for  Client;Denial Of Service;HTTPS; Client crashes, halts, stops or runs slowly
39;Elevation Using Impersonation;Elevation Of Privilege;HTTPS; Client may be able to impersonate the context of Proxy in order to gain additional privilege.
40; Client May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTPS;Proxy may be able to remotely execute code for  Client.
41;Elevation by Changing the Execution Flow in  Client;Elevation Of Privilege;HTTPS;An attacker may pass data into  Client in order to change the flow of program execution within  Client to the attacker's choosing.
58;Data Logs from an Unknown Source;Repudiation;Binary;Do you accept logs from unknown or weakly authenticated users or systems? Identify and authenticate the source of the logs before accepting them.
57;Lower Trusted Subject Updates Logs;Repudiation;Binary;If you have trust levels, is anyone other outside of the highest trust level allowed to log? Letting everyone write to your logs can lead to repudiation problems. Only allow trusted code to log.
56;Possible SQL Injection Vulnerability for PostgreSQL Database;Tampering;Binary;SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.
55;Spoofing of Destination Data Store PostgreSQL Database;Spoofing;Binary;PostgreSQL Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of PostgreSQL Database. Consider using a standard authentication mechanism to identify the destination data store.
60;External Entity Amazon RDS Potentially Denies Receiving Data;Repudiation;HTTPS;Amazon RDS claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
59;Spoofing of the Amazon RDS External Destination Entity;Spoofing;HTTPS;Amazon RDS may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Amazon RDS. Consider using a standard authentication mechanism to identify the external entity.
67;Web Server May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTPS;Amazon RDS may be able to remotely execute code for Web Server.
66;Elevation Using Impersonation;Elevation Of Privilege;HTTPS;Web Server may be able to impersonate the context of Amazon RDS in order to gain additional privilege.
64;Potential Process Crash or Stop for Web Server;Denial Of Service;HTTPS;Web Server crashes, halts, stops or runs slowly
63;Potential Data Repudiation by Web Server;Repudiation;HTTPS;Web Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
62;Cross Site Scripting;Tampering;HTTPS;The web server 'Web Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
68;Elevation by Changing the Execution Flow in Web Server;Elevation Of Privilege;HTTPS;An attacker may pass data into Web Server in order to change the flow of program execution within Web Server to the attacker's choosing.
69;Spoofing the Keycloak Process;Spoofing;HTTP;Keycloak may be spoofed by an attacker and this may lead to information disclosure by Web Server. Consider using a standard authentication mechanism to identify the destination process.
70;Potential Lack of Input Validation for Keycloak;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Keycloak or an elevation of privilege attack against Keycloak or an information disclosure by Keycloak. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
71;Web Server Process Memory Tampered;Tampering;HTTP;If Web Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Keycloak executes (for example, passing back a function pointer.), then Web Server can tamper with Keycloak. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
74;Cross Site Scripting;Tampering;HTTP;The web server 'Keycloak' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
75;Potential Data Repudiation by Keycloak;Repudiation;HTTP;Keycloak claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
76;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
77;Weak Authentication Scheme;Information Disclosure;HTTP;Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.
78;Potential Process Crash or Stop for Keycloak;Denial Of Service;HTTP;Keycloak crashes, halts, stops or runs slowly
79;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
80;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Keycloak may be able to impersonate the context of Web Server in order to gain additional privilege.
81;Keycloak May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Web Server may be able to remotely execute code for Keycloak.
82;Elevation by Changing the Execution Flow in Keycloak;Elevation Of Privilege;HTTP;An attacker may pass data into Keycloak in order to change the flow of program execution within Keycloak to the attacker's choosing.
83;Spoofing the Web Server Process;Spoofing;HTTP;Web Server may be spoofed by an attacker and this may lead to information disclosure by Keycloak. Consider using a standard authentication mechanism to identify the destination process.
84;Potential Lack of Input Validation for Web Server;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Web Server or an elevation of privilege attack against Web Server or an information disclosure by Web Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
85;Keycloak Process Memory Tampered;Tampering;HTTP;If Keycloak is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Server executes (for example, passing back a function pointer.), then Keycloak can tamper with Web Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
86;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
87;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
88;Cross Site Scripting;Tampering;HTTP;The web server 'Web Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
89;Potential Data Repudiation by Web Server;Repudiation;HTTP;Web Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
90;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
91;Weak Authentication Scheme;Information Disclosure;HTTP;Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.
92;Potential Process Crash or Stop for Web Server;Denial Of Service;HTTP;Web Server crashes, halts, stops or runs slowly
93;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
94;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Web Server may be able to impersonate the context of Keycloak in order to gain additional privilege.
95;Web Server May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Keycloak may be able to remotely execute code for Web Server.
96;Elevation by Changing the Execution Flow in Web Server;Elevation Of Privilege;HTTP;An attacker may pass data into Web Server in order to change the flow of program execution within Web Server to the attacker's choosing.
97;Spoofing the Vault Process;Spoofing;HTTP;Vault may be spoofed by an attacker and this may lead to information disclosure by Web Server. Consider using a standard authentication mechanism to identify the destination process.
98;Potential Lack of Input Validation for Vault;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Vault or an elevation of privilege attack against Vault or an information disclosure by Vault. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
99;Web Server Process Memory Tampered;Tampering;HTTP;If Web Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Vault executes (for example, passing back a function pointer.), then Web Server can tamper with Vault. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
100;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
101;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
102;Cross Site Scripting;Tampering;HTTP;The web server 'Vault' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
103;Potential Data Repudiation by Vault;Repudiation;HTTP;Vault claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
104;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
105;Weak Authentication Scheme;Information Disclosure;HTTP;Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.
106;Potential Process Crash or Stop for Vault;Denial Of Service;HTTP;Vault crashes, halts, stops or runs slowly
107;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
108;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Vault may be able to impersonate the context of Web Server in order to gain additional privilege.
109;Vault May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Web Server may be able to remotely execute code for Vault.
110;Elevation by Changing the Execution Flow in Vault;Elevation Of Privilege;HTTP;An attacker may pass data into Vault in order to change the flow of program execution within Vault to the attacker's choosing.
111;Spoofing the Web Server Process;Spoofing;HTTP;Web Server may be spoofed by an attacker and this may lead to information disclosure by Vault. Consider using a standard authentication mechanism to identify the destination process.
112;Potential Lack of Input Validation for Web Server;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Web Server or an elevation of privilege attack against Web Server or an information disclosure by Web Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
113;Vault Process Memory Tampered;Tampering;HTTP;If Vault is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Server executes (for example, passing back a function pointer.), then Vault can tamper with Web Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
114;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
115;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
116;Cross Site Scripting;Tampering;HTTP;The web server 'Web Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
117;Potential Data Repudiation by Web Server;Repudiation;HTTP;Web Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
118;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
119;Weak Authentication Scheme;Information Disclosure;HTTP;Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.
120;Potential Process Crash or Stop for Web Server;Denial Of Service;HTTP;Web Server crashes, halts, stops or runs slowly
121;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
122;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Web Server may be able to impersonate the context of Vault in order to gain additional privilege.
123;Web Server May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Vault may be able to remotely execute code for Web Server.
124;Elevation by Changing the Execution Flow in Web Server;Elevation Of Privilege;HTTP;An attacker may pass data into Web Server in order to change the flow of program execution within Web Server to the attacker's choosing.
125;Spoofing the Artemis Process;Spoofing;HTTP;Artemis may be spoofed by an attacker and this may lead to information disclosure by Web Server. Consider using a standard authentication mechanism to identify the destination process.
126;Potential Lack of Input Validation for Artemis;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Artemis or an elevation of privilege attack against Artemis or an information disclosure by Artemis. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
127;Web Server Process Memory Tampered;Tampering;HTTP;If Web Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Artemis executes (for example, passing back a function pointer.), then Web Server can tamper with Artemis. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
128;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
129;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
130;Potential Data Repudiation by Artemis;Repudiation;HTTP;Artemis claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
131;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
132;Weak Authentication Scheme;Information Disclosure;HTTP;Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.
133;Potential Process Crash or Stop for Artemis;Denial Of Service;HTTP;Artemis crashes, halts, stops or runs slowly
134;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
135;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Artemis may be able to impersonate the context of Web Server in order to gain additional privilege.
136;Artemis May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Web Server may be able to remotely execute code for Artemis.
137;Elevation by Changing the Execution Flow in Artemis;Elevation Of Privilege;HTTP;An attacker may pass data into Artemis in order to change the flow of program execution within Artemis to the attacker's choosing.
138;Spoofing the Artemis Process;Spoofing;HTTP;Artemis may be spoofed by an attacker and this may lead to unauthorized access to Web Server. Consider using a standard authentication mechanism to identify the source process.
139;Spoofing the Web Server Process;Spoofing;HTTP;Web Server may be spoofed by an attacker and this may lead to information disclosure by Artemis. Consider using a standard authentication mechanism to identify the destination process.
140;Potential Lack of Input Validation for Web Server;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Web Server or an elevation of privilege attack against Web Server or an information disclosure by Web Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
141;Artemis Process Memory Tampered;Tampering;HTTP;If Artemis is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Server executes (for example, passing back a function pointer.), then Artemis can tamper with Web Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
142;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
143;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
144;Cross Site Scripting;Tampering;HTTP;The web server 'Web Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
145;Potential Data Repudiation by Web Server;Repudiation;HTTP;Web Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
146;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
147;Potential Process Crash or Stop for Web Server;Denial Of Service;HTTP;Web Server crashes, halts, stops or runs slowly
148;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
149;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Web Server may be able to impersonate the context of Artemis in order to gain additional privilege.
150;Web Server May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Artemis may be able to remotely execute code for Web Server.
151;Elevation by Changing the Execution Flow in Web Server;Elevation Of Privilege;HTTP;An attacker may pass data into Web Server in order to change the flow of program execution within Web Server to the attacker's choosing.
152;Spoofing the Proxy Process;Spoofing;HTTP;Proxy may be spoofed by an attacker and this may lead to unauthorized access to Artemis. Consider using a standard authentication mechanism to identify the source process.
153;Spoofing the Artemis Process;Spoofing;HTTP;Artemis may be spoofed by an attacker and this may lead to information disclosure by Proxy. Consider using a standard authentication mechanism to identify the destination process.
154;Potential Lack of Input Validation for Artemis;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Artemis or an elevation of privilege attack against Artemis or an information disclosure by Artemis. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
155;Proxy Process Memory Tampered;Tampering;HTTP;If Proxy is given access to memory, such as shared memory or pointers, or is given the ability to control what Artemis executes (for example, passing back a function pointer.), then Proxy can tamper with Artemis. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
156;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
157;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
158;Potential Data Repudiation by Artemis;Repudiation;HTTP;Artemis claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
159;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
160;Potential Process Crash or Stop for Artemis;Denial Of Service;HTTP;Artemis crashes, halts, stops or runs slowly
161;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
162;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Artemis may be able to impersonate the context of Proxy in order to gain additional privilege.
163;Artemis May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Proxy may be able to remotely execute code for Artemis.
164;Elevation by Changing the Execution Flow in Artemis;Elevation Of Privilege;HTTP;An attacker may pass data into Artemis in order to change the flow of program execution within Artemis to the attacker's choosing.
165;Spoofing the Artemis Process;Spoofing;HTTP;Artemis may be spoofed by an attacker and this may lead to unauthorized access to Proxy. Consider using a standard authentication mechanism to identify the source process.
166;Spoofing the Proxy Process;Spoofing;HTTP;Proxy may be spoofed by an attacker and this may lead to information disclosure by Artemis. Consider using a standard authentication mechanism to identify the destination process.
167;Potential Lack of Input Validation for Proxy;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Proxy or an elevation of privilege attack against Proxy or an information disclosure by Proxy. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
168;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
169;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
170;Cross Site Scripting;Tampering;HTTP;The web server 'Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
171;Potential Data Repudiation by Proxy;Repudiation;HTTP;Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
